_id,INC_IR_NO,INC_IA_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_BEAT,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,HIGHEST_SHOW_FORCE,SHOW_FORCE_COUNT
2097,202500000916765,SOF25-1652,2025-06-23 19:58:00,2025,19:58:00,Monday,726,4XX North 52nd Street,Phoenix,AZ,85008.0,Mountain View Precinct,66934.0,Male,49.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
2098,202500000921579,SOF25-1653,2025-06-23 19:32:00,2025,19:32:00,Monday,724,1XXX North 46th Street,Phoenix,AZ,85008.0,Mountain View Precinct,66939.0,Male,48.0,40s,White,Non-Hispanic,White,No Charge,Taser,1
2099,202500000917494,SOF25-1654,2025-06-23 23:08:00,2025,23:08:00,Monday,722,3XXX East Flower Street,Phoenix,AZ,85018.0,Mountain View Precinct,66943.0,Female,42.0,40s,White,Hispanic,White,No Charge,Gun,1
2100,202500000921841,SOF25-1700,2025-06-23 19:18:00,2025,19:18:00,Monday,624,7XX West Hatcher Road,Phoenix,AZ,85021.0,Desert Horizon Precinct,67120.0,Male,39.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
2101,202500000916316,SOF25-1782,2025-06-23 23:45:00,2025,23:45:00,Monday,622,1XXX East Sahuaro Drive,Phoenix,AZ,85020.0,Desert Horizon Precinct,67371.0,,17.0,<20,,,Other,Criminal Felony,Gun,1
2102,202500000916316,SOF25-1782,2025-06-23 23:45:00,2025,23:45:00,Monday,622,1XXX East Sahuaro Drive,Phoenix,AZ,85020.0,Desert Horizon Precinct,67373.0,,22.0,20s,,,Other,Criminal Felony,Gun,1
2103,202500000927490,SOF25-1634,2025-06-24 20:41:00,2025,20:41:00,Tuesday,821,5XXX West Holly Street,Phoenix,AZ,85009.0,Maryvale/Estrella Precinct,66865.0,Male,27.0,20s,White,Hispanic,White,Criminal Misdemeanor,Gun,1
2104,202500000927251,SOF25-1635,2025-06-24 19:45:00,2025,19:45:00,Tuesday,931,2XXX West Cactus Road,Phoenix,AZ,85029.0,Cactus Park Precinct,66869.0,Male,19.0,<20,White,Hispanic,White,Criminal Felony,Gun,1
2105,202500000925872,SOF25-1636,2025-06-24 14:47:00,2025,14:47:00,Tuesday,915,3XXX West Lawrence Lane,Phoenix,AZ,85051.0,Cactus Park Precinct,66879.0,Male,25.0,20s,White,Hispanic,White,Criminal Felony,Gun,1
2106,202500000927223,SOF25-1637,2025-06-24 19:44:00,2025,19:44:00,Tuesday,933,,,AZ,,Cactus Park Precinct,66881.0,Male,34.0,30s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
2107,202500000927188,SOF25-1690,2025-06-24 20:17:00,2025,20:17:00,Tuesday,614,,,AZ,,Desert Horizon Precinct,34997.0,Female,46.0,40s,White,Non-Hispanic,White,No Charge,Gun,1
2108,202500000927188,SOF25-1690,2025-06-24 20:17:00,2025,20:17:00,Tuesday,614,,,AZ,,Desert Horizon Precinct,67136.0,Male,51.0,50s,White,Non-Hispanic,White,Criminal Felony,Gun,1
2109,202500000924871,SOF25-1702,2025-06-24 12:15:00,2025,12:15:00,Tuesday,611,2XXX West Palo Verde Drive,Phoenix,AZ,85015.0,Desert Horizon Precinct,67127.0,Male,69.0,60s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2110,202500000924871,SOF25-1702,2025-06-24 12:15:00,2025,12:15:00,Tuesday,611,2XXX West Palo Verde Drive,Phoenix,AZ,85015.0,Desert Horizon Precinct,67131.0,Male,21.0,20s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2111,202500000925150,SOF25-1719,2025-06-24 12:13:00,2025,12:13:00,Tuesday,921,3XXX West Glendale Avenue,Phoenix,AZ,,Cactus Park Precinct,67189.0,Male,32.0,30s,White,Hispanic,White,Criminal Felony,Gun,1
2112,202500000922981,SOF25-1783,2025-06-24 01:19:00,2025,01:19:00,Tuesday,823,4XXX West Indian School Road,Phoenix,AZ,85019.0,Maryvale/Estrella Precinct,67375.0,,33.0,30s,,,Other,Criminal Felony,Gun,1
2113,20250000878929,SOF25-2073,2025-06-24 12:00:00,2025,12:00:00,Tuesday,921,2XXX West Augusta Avenue,Phoenix,AZ,85051.0,Cactus Park Precinct,68303.0,,25.0,20s,,,Other,Criminal Felony,Gun,1
2114,20250000878929,SOF25-2073,2025-06-24 12:00:00,2025,12:00:00,Tuesday,921,2XXX West Augusta Avenue,Phoenix,AZ,85051.0,Cactus Park Precinct,68305.0,,28.0,20s,,,Other,Criminal Felony,Gun,1
2115,202500000923951,SOF25-1641,2025-06-25 08:27:00,2025,08:27:00,Wednesday,831,7XXX West Globe Avenue,Phoenix,AZ,85043.0,Maryvale/Estrella Precinct,66897.0,Male,38.0,30s,,,Other,Criminal Felony,Gun,1
